serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
10003196,Oderwij wzdłuż linii,Strappare lungo i bordi,2021,8.29971,6850,2022-01-09,7,nie,
794586,Kino no Tabi: The Beautiful World,Kino no Tabi: The Beautiful World,2017,6.89873,79,2022-01-09,8,tak,
32585,Sceny z życia małżeńskiego,Scener ur ett äktenskap,1973,7.80235,4422,2021-12-29,9,nie,
106022,Furi Kuri,Furi Kuri,2000,7.72098,2283,2021-12-26,7,nie,
838627,Cowboy Bebop,Cowboy Bebop,2021,6.10833,3720,2021-12-23,4,nie,
10002984,Voir: Potęga kina,Voir,2021,6.30682,264,2021-12-19,8,nie,
841842,Squid Game,Ojingeo geim,2021,7.25012,165928,2021-12-13,8,nie,
873628,Arcane,Arcane,2021,8.54351,56319,2021-12-11,8,nie,
862677,Niezwyciężony,Invincible,2021,8.29178,20598,2021-11-14,8,nie,
866842,Gwiezdne wojny: Wizje,Star Wars: Visions,2021,6.20385,2232,2021-10-13,6,nie,
843529,Sztuciek się pyta,Forky Asks a Question,2019,5.94268,471,2021-10-06,8,nie,
865294,Za kulisami PIXARA,Inside Pixar,2020,6.39535,86,2021-10-04,7,nie,
868821,Pixar Popcorn,Pixar Popcorn,2021,6.14243,337,2021-10-04,6,nie,
10000680,Szalone przygody Asa,Dug Days,2021,7.39043,794,2021-10-04,8,nie,
868051,Krótko mówiąc,Short Circuit,2020,6.68182,132,2021-10-03,9,nie,
842140,Eden,Eden,2021,6.28137,263,2021-09-06,5,nie,
836442,A gdyby...?,What If...?,2021,6.89801,13923,2021-09-03,7,nie,
